Date,Year,Month,CPI,Unemployment (%),Fed Rate (%),Real GDP (Billions in USD),Inflation (% per Year),Home Sales (Billions in USD),Retail Sales (Billions in USD),Industry Production Lag_1,Unemployment Lag_1,YoY Unemployment,Month_Sin,Month_Cos
2018-04-01,2018.0,4.0,250.546,4.0,1.685,20150.476,1.4938185091836713,642.0,197759.0,103.14525,4.0,-0.018292682926829174,0.8660254037844387,-0.4999999999999998
2018-05-01,2018.0,5.0,251.588,3.8,1.7,20276.154,1.5012083092949058,662.0,199646.0,103.434,4.0,-0.05,0.4999999999999999,-0.8660254037844387
2018-06-01,2018.0,6.0,251.989,4.0,1.8575,20276.154,1.0899001529650159,636.0,198758.0,103.05675000000001,3.95,-0.01219512195121945,1.2246467991473532e-16,-1.0
2018-07-01,2018.0,7.0,252.006,3.8,1.91,20276.154,0.9825528743278,628.0,199980.0,103.251,4.0,-0.05,-0.4999999999999997,-0.8660254037844388
2018-08-01,2018.0,8.0,252.146,3.8,1.915,20304.874,1.0386529568750589,593.0,199605.0,103.8195,3.8,-0.05,-0.8660254037844385,-0.5000000000000004
2018-09-01,2018.0,9.0,252.439,3.7000000000000006,2.0100000000000002,20304.874,0.7555498790641243,595.0,198430.0,104.17133333333334,3.733333333333333,-0.0749999999999999,-1.0,-1.8369701987210294e-16
2018-10-01,2018.0,10.0,252.885,3.7999999999999994,2.19,20304.874,0.6015525206119725,554.0,200095.0,104.08766666666668,3.766666666666667,-0.03333333333333333,-0.8660254037844387,0.5000000000000001
2018-11-01,2018.0,11.0,252.038,3.8,2.1950000000000003,20415.15,0.01944529324693,625.0,200779.0,104.00399999999999,3.8,-0.05,-0.5000000000000004,0.8660254037844384
2018-12-01,2018.0,12.0,251.23300000000003,3.9,2.263333333333333,20415.15,-0.3229478760691848,546.0,197321.0,103.89933333333333,3.8666666666666667,0.009210526315789466,-2.4492935982947064e-16,1.0
2019-01-01,2019.0,1.0,251.712,4.0,2.4,20415.15,-0.172122500456084,595.0,198560.0,103.869,3.9,0.0526315789473683,0.4999999999999999,0.8660254037844387
2019-02-01,2019.0,2.0,252.776,3.8,2.4,20584.528,0.1334975974393883,648.0,198723.0,103.268,4.0,0.0270270270270269,0.8660254037844386,0.5000000000000001
2019-03-01,2019.0,3.0,254.202,3.7999999999999994,2.4133333333333336,20584.528,0.6391877214207918,718.0,200396.0,102.872,3.7999999999999994,0.018018018018017935,1.0,6.123233995736766e-17
2019-04-01,2019.0,4.0,255.548,3.6,2.43,20584.528,1.3217838166800175,702.0,200016.0,102.4864,3.6399999999999997,-0.057489878542509996,0.8660254037844387,-0.49999999999999983
2019-05-01,2019.0,5.0,256.092,3.6,2.406,20817.581,1.5327085851576594,618.0,200875.0,102.5374,3.6,-0.07182186234817803,0.4999999999999999,-0.8660254037844387
2019-06-01,2019.0,6.0,256.143,3.6,2.3775,20817.581,0.4981994768361648,729.0,201164.0,102.58875,3.6,-0.02631578947368415,1.2246467991473532e-16,-1.0
2019-07-01,2019.0,7.0,256.571,3.7,2.4,20817.581,0.3150065726466253,648.0,202685.0,102.2794,3.6800000000000006,0.0277777777777779,-0.4999999999999997,-0.8660254037844389
2019-08-01,2019.0,8.0,256.558,3.7000000000000006,2.1300000000000003,20951.088,0.18196585602049584,712.0,203435.0,102.673,3.7000000000000006,0.0277777777777779,-0.8660254037844385,-0.5000000000000004
2019-09-01,2019.0,9.0,256.759,3.5,2.065,20951.088,0.1568823639537324,712.0,201778.0,102.62025,3.525,-0.040915915915915854,-1.0,-1.8369701987210294e-16
2019-10-01,2019.0,10.0,257.346,3.6,1.8099999999999998,20951.088,0.2801213035333809,722.0,201908.0,101.9115,3.5833333333333335,-0.008494208494208467,-0.8660254037844387,0.5000000000000001
2019-11-01,2019.0,11.0,257.208,3.6,1.5599999999999998,20665.553,0.1748721563801122,713.0,202404.0,101.99133333333333,3.6,0.0285714285714286,-0.5000000000000004,0.8660254037844384
2019-12-01,2019.0,12.0,256.974,3.6,1.5550000000000002,20665.553,0.0837361105160773,700.0,203631.0,101.9305,3.6,0.0285714285714286,-2.4492935982947064e-16,1.0
2020-01-01,2020.0,1.0,257.971,3.5,1.57,20665.553,0.30015726521388436,690.0,202590.0,101.418,3.525,-0.020833333333333273,0.4999999999999999,0.8660254037844387
2020-02-01,2020.0,2.0,258.678,3.5,1.585,19034.83,0.5175911030286049,707.0,203150.0,101.5035,3.5,-0.0277777777777777,0.8660254037844386,0.5000000000000001
2020-03-01,2020.0,3.0,258.115,4.4,0.47700000000000004,19034.83,0.24680266478085439,621.0,185986.0,98.25789999999999,4.3100000000000005,0.23619047619047628,1.0,6.123233995736766e-17
2020-04-01,2020.0,4.0,256.389,14.699999999999998,0.049999999999999996,19034.83,-0.8128206687169754,579.0,158936.0,89.26433333333334,11.266666666666666,2.9136363636363636,0.8660254037844387,-0.4999999999999998
2020-05-01,2020.0,5.0,256.394,13.2,0.05,20511.785,-0.6667570656490338,709.0,188739.0,84.959,14.7,2.0,0.4999999999999999,-0.8660254037844387
2020-06-01,2020.0,6.0,257.797,11.0,0.06999999999999999,20511.785,-0.1232008988241611,800.0,204144.0,90.6686,11.440000000000001,1.5,1.2246467991473532e-16,-1.0
2020-07-01,2020.0,7.0,259.101,10.2,0.09000000000000001,20511.785,0.3820002711969432,800.0,207562.0,94.08,10.466666666666667,1.318181818181818,-0.4999999999999997,-0.8660254037844388
2020-08-01,2020.0,8.0,259.918,8.4,0.09000000000000001,20724.128,1.376424105558349,800.0,208194.0,95.82600000000001,9.0,-0.42857142857142855,-0.8660254037844385,-0.5000000000000004
2020-09-01,2020.0,9.0,260.28,7.9,0.09,20724.128,1.5156360913281774,800.0,212234.0,96.117,8.4,-0.4015151515151515,-1.0,-1.8369701987210294e-16
2020-10-01,2020.0,10.0,260.388,6.9,0.09,20724.128,1.0050543644805607,800.0,211216.0,95.844,7.9,-0.3727272727272727,-0.8660254037844386,0.5000000000000001
2020-11-01,2020.0,11.0,260.229,6.7,0.08499999999999999,20990.541,0.9433779291457848,800.0,208900.0,96.6425,6.800000000000001,-0.3909090909090909,-0.5000000000000004,0.8660254037844384
2020-12-01,2020.0,12.0,260.474,6.7,0.09,20990.541,1.0384139458566095,800.0,209971.0,96.856,6.7,-0.3909090909090909,-2.4492935982947064e-16,1.0
2021-01-01,2021.0,1.0,261.582,6.3,0.08,20990.541,1.1277642633122191,800.0,216756.0,98.51433333333334,6.433333333333334,-0.39732620320855605,0.49999999999999983,0.8660254037844387
2021-02-01,2021.0,2.0,263.014,6.2,0.07500000000000001,21309.544,1.350683391065787,774.0,210489.0,97.07900000000001,6.25,-0.3270308123249299,0.8660254037844386,0.5000000000000001
2021-03-01,2021.0,3.0,264.877,6.1,0.065,21309.544,1.9079094175855476,800.0,232367.0,96.75450000000001,6.15,-0.2738095238095238,1.0,6.123233995736766e-17
2021-04-01,2021.0,4.0,267.054,6.099999999999999,0.06,21309.544,2.595099219306843,800.0,232706.0,98.23766666666667,6.099999999999999,-0.14444745635243342,0.8660254037844387,-0.4999999999999998
2021-05-01,2021.0,5.0,269.195,5.8,0.055,21483.083,3.3967768944185437,726.0,229239.0,98.72,5.949999999999999,-0.1343283582089552,0.4999999999999999,-0.8660254037844387
2021-06-01,2021.0,6.0,271.696,5.900000000000001,0.08,21483.083,3.866473992858849,689.0,229751.0,99.39033333333333,5.866666666666667,-0.0634920634920633,1.2246467991473532e-16,-1.0
2021-07-01,2021.0,7.0,273.003,5.4,0.085,21483.083,3.797896689910033,727.0,225150.0,99.8165,5.65,-0.1290322580645161,-0.4999999999999997,-0.8660254037844388
2021-08-01,2021.0,8.0,273.567,5.1,0.0825,21847.602,2.8598003251306503,691.0,226423.0,100.12525000000001,5.175,-0.1639344262295081,-0.8660254037844385,-0.5000000000000004
2021-09-01,2021.0,9.0,274.31,4.7,0.07,21847.602,2.3085815329042143,731.0,227139.0,99.5935,4.9,-0.20958168456755222,-1.0,-1.8369701987210294e-16
2021-10-01,2021.0,10.0,276.589,4.5,0.07500000000000001,21847.602,2.27380880865011,683.0,228106.0,99.683,4.6,-0.2307130333138515,-0.8660254037844386,0.5000000000000001
2021-11-01,2021.0,11.0,277.948,4.1,0.07500000000000001,21738.871,2.301101230787333,787.0,228758.0,100.751,4.3,-0.3050847457627119,-0.5000000000000004,0.8660254037844384
2021-12-01,2021.0,12.0,278.802,3.9,0.07500000000000001,21738.871,2.124152481840872,800.0,225248.0,101.196,4.0,-0.2777777777777778,-2.4492935982947064e-16,1.0
2022-01-01,2022.0,1.0,281.148,4.0,0.08,21738.871,2.771167575036469,798.0,228065.0,101.195,3.9,-0.2156862745098038,0.4999999999999999,0.8660254037844387
2022-02-01,2022.0,2.0,283.716,3.8,0.08,21708.16,3.709877287830769,781.0,228626.0,101.215,4.0,-0.2549019607843137,0.8660254037844386,0.5000000000000001
2022-03-01,2022.0,3.0,287.504,3.6,0.20500000000000002,21708.16,5.094547222435459,713.0,230972.0,102.2595,3.7,-0.2941176470588235,1.0,6.123233995736766e-17
2022-04-01,2022.0,4.0,289.109,3.7,0.33,21708.16,5.394991068499135,636.0,233147.0,102.673,3.6,-0.2127659574468084,0.8660254037844387,-0.4999999999999998
2022-05-01,2022.0,5.0,292.296,3.6,0.58,21851.134,6.117819186640885,648.0,230314.0,102.934,3.6500000000000004,-0.2170212765957446,0.4999999999999999,-0.8660254037844387
2022-06-01,2022.0,6.0,296.311,3.6,1.205,21851.134,6.868533433815088,543.0,229055.0,102.894,3.6,-0.16097560975609745,1.2246467991473532e-16,-1.0
2022-07-01,2022.0,7.0,296.276,3.5,2.0766666666666667,21851.134000000002,6.376366632297674,519.0,227498.0,102.97466666666666,3.533333333333333,-0.11715655618094634,-0.4999999999999997,-0.8660254037844388
2022-08-01,2022.0,8.0,296.171,3.6,2.33,21989.981,5.343449001949139,644.0,228688.0,103.051,3.5,-0.0999999999999999,-0.8660254037844385,-0.5000000000000004
