Row Labels,Sum of SrcWgtAvgGoldstein,Sum of SrcWeightAvgTone
7/31/2015,0.582,-1.545
8/1/2015,0.490,-1.617
8/2/2015,0.568,-1.501
8/3/2015,0.756,-1.278
8/4/2015,0.769,-1.413
8/5/2015,0.467,-1.452
8/6/2015,0.536,-1.311
8/7/2015,0.366,-1.601
8/8/2015,0.123,-2.217
8/9/2015,0.324,-1.796
8/10/2015,0.202,-1.915
8/11/2015,0.463,-1.644
8/12/2015,0.735,-1.326
8/13/2015,0.626,-1.570
8/14/2015,0.788,-1.208
8/15/2015,0.302,-1.608
8/16/2015,0.317,-1.667
8/17/2015,0.824,-1.308
8/18/2015,0.810,-1.332
8/19/2015,0.745,-1.479
8/20/2015,0.669,-1.455
8/21/2015,0.372,-1.530
8/22/2015,0.309,-2.214
8/23/2015,0.272,-1.918
8/24/2015,0.785,-1.365
8/25/2015,0.716,-1.438
8/26/2015,0.711,-1.526
8/27/2015,0.843,-1.285
8/28/2015,0.710,-1.245
8/29/2015,0.029,-1.659
8/30/2015,0.559,-1.722
8/31/2015,0.906,-1.214
9/1/2015,0.990,-1.346
9/2/2015,1.038,-1.362
9/3/2015,0.954,-1.507
9/4/2015,1.159,-1.319
9/5/2015,0.786,-1.508
9/6/2015,0.911,-1.582
9/7/2015,0.578,-1.715
9/8/2015,0.995,-1.384
9/9/2015,1.026,-1.329
9/10/2015,1.181,-1.357
9/11/2015,0.826,-1.570
9/12/2015,0.893,-1.502
9/13/2015,0.776,-1.425
9/14/2015,0.874,-1.006
9/15/2015,0.846,-1.420
9/16/2015,0.980,-1.146
9/17/2015,0.947,-0.998
9/18/2015,0.976,-1.157
9/19/2015,0.940,-1.297
9/20/2015,1.192,-1.062
9/21/2015,1.269,-0.993
9/22/2015,1.062,-1.121
9/23/2015,1.111,-1.025
9/24/2015,1.088,-1.000
9/25/2015,0.896,-1.154
9/26/2015,0.789,-1.516
9/27/2015,1.031,-1.145
9/28/2015,1.050,-1.202
9/29/2015,0.867,-1.224
9/30/2015,0.557,-1.319
10/1/2015,0.616,-1.441
10/2/2015,0.531,-1.794
10/3/2015,0.076,-1.895
10/4/2015,0.146,-1.884
10/5/2015,0.720,-1.278
10/6/2015,0.999,-1.090
10/7/2015,0.611,-1.317
10/8/2015,0.816,-1.197
10/9/2015,0.666,-1.189
10/10/2015,0.341,-1.754
10/11/2015,0.284,-1.778
10/12/2015,0.719,-1.258
10/13/2015,0.792,-1.336
10/14/2015,0.657,-1.328
10/15/2015,0.801,-1.460
10/16/2015,0.723,-1.595
10/17/2015,0.230,-1.953
10/18/2015,0.484,-1.638
10/19/2015,0.980,-1.197
10/20/2015,0.876,-0.963
10/21/2015,1.319,-1.019
10/22/2015,0.128,-1.808
10/23/2015,0.760,-1.471
10/24/2015,0.671,-1.497
10/25/2015,1.105,-1.258
10/26/2015,1.231,-1.005
10/27/2015,0.966,-0.900
10/28/2015,0.928,-1.266
10/29/2015,0.979,-1.095
10/30/2015,0.674,-1.680
10/31/2015,0.655,-1.485
11/1/2015,0.503,-1.535
11/2/2015,0.910,-1.127
11/3/2015,0.630,-1.302
11/4/2015,0.776,-1.341
11/5/2015,0.912,-1.149
11/6/2015,0.880,-1.173
11/7/2015,0.577,-1.151
11/8/2015,0.499,-1.264
11/9/2015,0.530,-1.319
11/10/2015,1.158,-0.781
11/11/2015,1.116,-0.759
11/12/2015,0.843,-0.942
11/13/2015,0.533,-1.568
11/14/2015,-0.005,-2.669
11/15/2015,-0.112,-2.422
11/16/2015,0.494,-2.144
11/17/2015,0.873,-1.991
11/18/2015,0.762,-1.752
11/19/2015,0.530,-1.948
11/20/2015,0.453,-2.038
11/21/2015,0.372,-2.471
11/22/2015,0.601,-1.788
11/23/2015,0.793,-1.408
11/24/2015,0.337,-1.814
11/25/2015,0.526,-1.820
11/26/2015,0.402,-1.671
11/27/2015,0.440,-1.717
11/28/2015,0.494,-1.894
11/29/2015,0.566,-1.850
11/30/2015,0.924,-1.338
12/1/2015,0.882,-1.398
12/2/2015,0.631,-1.580
12/3/2015,0.413,-1.621
12/4/2015,0.655,-1.643
12/5/2015,0.523,-1.786
12/6/2015,0.286,-1.587
12/7/2015,0.454,-1.678
12/8/2015,0.497,-1.853
12/9/2015,0.561,-1.658
12/10/2015,0.590,-1.548
12/11/2015,0.561,-1.636
12/12/2015,0.619,-1.359
12/13/2015,0.704,-1.493
12/14/2015,0.446,-1.410
12/15/2015,0.845,-1.364
12/16/2015,0.651,-1.705
12/17/2015,0.904,-1.491
12/18/2015,1.017,-1.436
12/19/2015,0.647,-1.626
12/20/2015,0.525,-1.783
12/21/2015,0.499,-1.543
12/22/2015,0.546,-1.482
12/23/2015,0.410,-1.479
12/24/2015,0.474,-1.626
